poi_code	orig_postcode	orig_city	orig_street	orig_housenumber	orig_conscriptionnumber	orig_name	new_postcode	new_city	new_street	new_housenumber	new_conscriptionnumber	new_name
*	1094	Budapest	Thaly Kálmán út	*			1096	Budapest	Thaly Kálmán utca	*		
*	1097	Budapest	ECSERI út	9			1097	Budapest	Ecseri út	9		
*	1097	Budapest	Határ utca				1097	Budapest	Határ út			
*	1097	Budapest	Koppány u. (Tesco áruház)	*			1097	Budapest	Koppány utca	*		
*	1097	Budapest	Könyves Kálmán körút 12-14., Lurdy ház				1097	Budapest	Könyves Kálmán körút	12-14		
*	1095	Budapest	Ecseri út	2			1098	Budapest	Ecseri út	2		
*	1098	Budapest	IX, 09 Lobogó utca	*			1098	Budapest	Lobogó utca	*		
*	1107	Budapest	Kőbányai út	57/A			1101	Budapest	Kőbányai út	57/a		
*	1107	Budapest	Kőbányai út				1101	Budapest	Kőbányai út			
*	1101	Budapest	Üllői utca	110			1101	Budapest	Üllői út	110		
*	1102	Budapest	Körősi Csoma sétány	*			1102	Budapest	Kőrösi Csoma sétány	*		
*	1102	Budapest	Kőrösi Cs. sétány	*			1102	Budapest	Kőrösi Csoma sétány	*		
*	1108	Budapest	Sibrik Miklós út	30			1103	Budapest	Sibrik Miklós út	30		
*	1103	Budapest	Sibrik Miklós utca	30			1103	Budapest	Sibrik Miklós út	30		
*	0	Budapest	Sibrik - Gyömrői sarok				1103	Budapest	Sibrik Miklós út			
*	1102	Budapest	Kőrösi Csoma Sándor utca	35-37			1105	Budapest	Kőrösi Csoma Sándor út	35-37		
*	1102	Budapest	Maláta utca	*			1105	Budapest	Maláta utca	*		
*	1106	Budapest	Fehér utca	*			1106	Budapest	Fehér út	*		
*	0	Budapest	Jászberényi út	*			1106	Budapest	Jászberényi út	*		
*	1106	Budapest	Keresztúri utca	108/A			1106	Budapest	Keresztúri út	108/a		
hupostacso	1870	Budapest	Örs Vezér tere	23			1106	Budapest	Örs vezér tere	23		
hupostacso	1870	Budapest	Örs vezér tere	23			1106	Budapest	Örs vezér tere	23		
*	1106	Budapest	Örs Vezér tere	25/A			1106	Budapest	Örs vezér tere	25/a		
*	1107	Budapest	Bihari út	*			1107	Budapest	Bihari utca	*		
*	1107	Budapest	FOGADÓ u	1/A			1107	Budapest	Fogadó utca	1/a		
*	1103	Budapest	Sibrik Miklós út	32			1108	Budapest	Sibrik Miklós út	32		
*	1111	Budapest	Bartók Béla  út	14			1111	Budapest	Bartók Béla út	14		
*	1117	Budapest	Irinyi József utca	45			1111	Budapest	Irinyi József utca	45		
*	1117	Budapest	Irinyi József utca	47			1111	Budapest	Irinyi József utca	47		
*	1112	Budapest	balatoni út				1112	Budapest	Balatoni út			
*	1112	Budapest	Budaörsi utca	112			1112	Budapest	Budaörsi út	112		
*	1112	Budapest	Budaőrsi út	112			1112	Budapest	Budaörsi út	112		
*	1118	Budapest	Budaörsi út	126			1112	Budapest	Budaörsi út	126		
*	1115	Budapest	Hetényi utca	*			1112	Budapest	Hetény utca	*		
*	1116	Budapest	Péterhegyi út	*			1112	Budapest	Péterhegyi út	*		
*	1114	Budapest	Szabolcska utca	*			1114	Budapest	Szabolcska Mihály utca	*		
*	1115	Budapest	Bartók Béla utca	105-113			1115	Budapest	Bartók Béla út	105-113		
*	1115	Budapest	Bartók Béla utca	127-129			1115	Budapest	Bartók Béla út	127-129		
hupostacso	1871	Budapest	Etele tér	aluljáró			1115	Budapest	Etele tér			
*	1119	Budapest	Fegyvernek utca				1116	Budapest	Fegyvernek utca			
*	1116	Budapest	XI, 11 Fehérvári út	192			1116	Budapest	Fehérvári út	192		
